date,total_trades,total_volume,avg_leverage,mean_closedPnL
2025-03-04,1748,,,-1.353524757437071
2025-04-01,371,,,6.882851665768194
2025-04-02,2512,,,165.9541752070064
2025-04-03,2402,,,75.80165136761032
2025-04-04,1272,,,-20.05949602987421
2025-05-01,239,,,13.337737920502093
2025-05-02,1297,,,43.721075992289904
2025-05-03,1660,,,162.24600356445782
2025-05-04,360,,,99.74260475
2025-06-01,573,,,10.583220581151831
2025-06-02,1703,,,19.84955944392249
2025-06-03,760,,,21.18569152763158
2025-06-04,1048,,,44.89832945801527
2025-07-01,637,,,25.271942748822607
2025-07-02,1524,,,14.730972500656167
2025-07-03,2552,,,58.86993010462382
2025-07-04,2814,,,12.269854408315563
2025-08-01,1039,,,125.23300342059672
2025-08-02,575,,,1.0203534834782608
2025-08-03,529,,,46.69333338185255
2025-08-04,943,,,37.00890222481442
2025-09-01,522,,,89.99220096168582
2025-09-02,764,,,197.05736844502616
2025-09-03,1422,,,13.905384947257385
2025-09-04,3967,,,10.86978694151752
2025-10-01,819,,,-12.352717401709402
2025-10-02,889,,,71.88807047244094
2025-10-03,2911,,,-3.438690233596702
2025-10-04,2127,,,74.40612236060178
2025-11-01,283,,,8.017952424028268
2025-11-02,848,,,-7.186067001179245
2025-11-03,3286,,,-23.3964482763238
2025-11-04,1096,,,115.33437872354014
2025-12-01,602,,,9.538607646179402
2025-12-02,1031,,,19.251828353055284
2025-12-03,3968,,,72.60735489289314
2025-12-04,2109,,,194.60393292223802
